worker_type,spouse_type,birth_yr,claim_age,age,year,earnings,tax,pv_ben_through_t_sched,delta_pv_ben_sched,net_tax_sched,pv_ben_through_t_pb,delta_pv_ben_pb,net_tax_pb
high,high,1945,65,43,1988,33177.21264,4021.0781719680003,1057816.7178426078,16595.615768369636,0.019231504915401737,1057816.7178426078,16595.615768369636,0.019231504915401737
high,high,1945,65,44,1989,34711.92285,4207.085049420001,1074535.073487674,16718.355645066127,0.014477260102346906,1074535.073487674,16718.355645066127,0.014477260102346906
high,high,1945,65,45,1990,36504.57328,4526.567086719999,1091255.4869104223,16720.413422748446,0.013777149292990792,1091255.4869104223,16720.413422748446,0.013777149292990792
high,high,1945,65,46,1991,38039.4304,4716.8893696,1108236.1107697068,16980.623859284446,0.007984692441371856,1108236.1107697068,16980.623859284446,0.007984692441371856
high,high,1945,65,47,1992,40114.04958,4974.142147919999,1125233.5939815298,16997.48321182304,0.006056708567311235,1125233.5939815298,16997.48321182304,0.006056708567311235
high,high,1945,65,48,1993,40505.30516999999,5022.657841079998,1142153.4073231106,16919.813341580797,6.372126040650691e-4,1142153.4073231106,16919.813341580797,6.372126040650691e-4
high,high,1945,65,49,1994,41568.6775,5154.516009999999,1159007.3330732633,16853.925750152674,-0.004240396780102324,1159007.3330732633,16853.925750152674,-0.004240396780102324
high,high,1945,65,50,1995,43234.905,5361.12822,1175987.8167986604,16980.48372539715,-0.008795463581989767,1175987.8167986604,16980.48372539715,-0.008795463581989767
high,high,1945,65,51,1996,45271.583300000006,5613.6763292,1192902.7581772238,16914.94137856341,-0.01066964293527345,1192902.7581772238,16914.94137856341,-0.01066964293527345
high,high,1945,65,52,1997,47666.388,5910.632111999999,1209693.0527776934,16790.294600469526,-0.011340623218669734,1209693.0527776934,16790.294600469526,-0.011340623218669734
high,high,1945,65,53,1998,49843.70688,6180.619653119999,1222107.9068312682,12414.854053574847,0.022940463359065282,1222107.9068312682,12414.854053574847,0.022940463359065282
high,high,1945,65,54,1999,52225.305759999996,6475.9379142399985,1229864.5145432693,7756.607712001074,0.06018352457216484,1229864.5145432693,7756.607712001074,0.06018352457216484
high,high,1945,65,55,2000,54534.57472,6762.28726528,1237557.9278636314,7693.413320362102,0.059625535527080546,1237557.9278636314,7693.413320362102,0.059625535527080546
high,high,1945,65,56,2001,54782.07487999999,6792.977285119999,1243123.6243808419,5565.696517210454,0.07522881828952727,1243123.6243808419,5565.696517210454,0.07522881828952727
high,high,1945,65,57,2002,54067.89833999999,6704.419394159999,1248017.7090854878,4894.084704645909,0.07841838429446678,1248017.7090854878,4894.084704645909,0.07841838429446678
